baseline_id,baseline_label,prompt_id,prompt_label,seed_count,mean_rounds_per_run,std_rounds_per_run,mean_feedback_events_per_run,std_feedback_events_per_run,failing_candidate_count
no_update_random_sampling,No-update random sampling,landscape_environment,Landscape / environment,3,1.0,0.0,0.0,0.0,0
prompt_only_manual,Prompt-only manual iteration,landscape_environment,Landscape / environment,3,1.0,0.0,0.0,0.0,0
stablesteering_default,StableSteering default steering loop,landscape_environment,Landscape / environment,3,2.0,0.0,1.0,0.0,0
no_update_random_sampling,No-update random sampling,portrait_character,Portrait / character,3,1.0,0.0,0.0,0.0,5
prompt_only_manual,Prompt-only manual iteration,portrait_character,Portrait / character,3,1.0,0.0,0.0,0.0,0
stablesteering_default,StableSteering default steering loop,portrait_character,Portrait / character,3,2.0,0.0,1.0,0.0,9
no_update_random_sampling,No-update random sampling,product_hero_shot,Product hero shot,3,1.0,0.0,0.0,0.0,0
prompt_only_manual,Prompt-only manual iteration,product_hero_shot,Product hero shot,3,1.0,0.0,0.0,0.0,0
stablesteering_default,StableSteering default steering loop,product_hero_shot,Product hero shot,3,2.0,0.0,1.0,0.0,0
