slice_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
preference_slice,Borda preference,1,0.860172,0.830644,0.524999,0.54211
preference_slice,Borda preference,2,0.860172,0.830644,0.524999,0.54211
preference_slice,Borda preference,3,0.86622,0.830644,0.534224,0.54211
preference_slice,Borda preference,4,0.873199,0.830644,0.534879,0.54211
preference_slice,Borda preference,5,0.877232,0.830644,0.534879,0.54211
preference_slice,Bradley-Terry preference,1,0.866276,0.797813,0.647168,0.536814
preference_slice,Bradley-Terry preference,2,0.875751,0.797813,0.671323,0.536814
preference_slice,Bradley-Terry preference,3,0.885613,0.797813,0.686688,0.536814
preference_slice,Bradley-Terry preference,4,0.88585,0.797813,0.686688,0.536814
preference_slice,Bradley-Terry preference,5,0.88585,0.797813,0.686688,0.536814
preference_slice,Score-weighted preference,1,0.849395,0.82154,0.577247,0.463694
preference_slice,Score-weighted preference,2,0.858573,0.82154,0.609206,0.463694
preference_slice,Score-weighted preference,3,0.866162,0.82154,0.643382,0.463694
preference_slice,Score-weighted preference,4,0.866162,0.82154,0.643382,0.463694
preference_slice,Score-weighted preference,5,0.868802,0.82154,0.643382,0.463694
preference_slice,Softmax preference,1,0.868593,0.845698,0.52025,0.554732
preference_slice,Softmax preference,2,0.870537,0.845698,0.539869,0.554732
preference_slice,Softmax preference,3,0.870537,0.845698,0.539869,0.554732
preference_slice,Softmax preference,4,0.878888,0.845698,0.581103,0.554732
preference_slice,Softmax preference,5,0.878888,0.845698,0.581103,0.554732
