slice_id,policy_id,policy_label,oracle_policy,sampler,updater,feedback_mode,target_count,mean_baseline_clip,mean_final_best_clip,mean_delta_clip,mean_baseline_dinov2,mean_final_best_dinov2,mean_delta_dinov2
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,annealed_shell,softmax_preference,scalar_rating,3,0.811213,0.873768,0.062555,0.430103,0.697305,0.267202
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,annealed_shell,softmax_preference,scalar_rating,3,0.835661,0.882668,0.047007,0.557787,0.670438,0.112652
oracle_slice,clip_only,CLIP oracle,clip_only,annealed_shell,softmax_preference,scalar_rating,3,0.808736,0.876619,0.067884,0.471064,0.658747,0.187683
preference_slice,borda_topk,Borda preference,clip_only,diversity_shell,borda_preference,top_k,3,0.830644,0.877232,0.046588,0.54211,0.534879,-0.007231
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,diversity_shell,bradley_terry_preference,top_k,3,0.797813,0.88585,0.088037,0.536814,0.686688,0.149874
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,diversity_shell,score_weighted_preference,scalar_rating,3,0.82154,0.868802,0.047262,0.463694,0.643382,0.179688
preference_slice,softmax_scalar,Softmax preference,clip_only,diversity_shell,softmax_preference,scalar_rating,3,0.845698,0.878888,0.03319,0.554732,0.581103,0.02637
sampler_slice,annealed_shell,Annealed shell,clip_only,annealed_shell,softmax_preference,scalar_rating,3,0.812264,0.877715,0.065451,0.517545,0.627356,0.109811
sampler_slice,diversity_shell,Diversity shell,clip_only,diversity_shell,softmax_preference,scalar_rating,3,0.811712,0.876967,0.065255,0.468441,0.595466,0.127024
sampler_slice,line_search,Line search,clip_only,line_search,softmax_preference,scalar_rating,3,0.825623,0.877544,0.05192,0.564991,0.660064,0.095073
sampler_slice,spherical_cover,Spherical cover,clip_only,spherical_cover,softmax_preference,scalar_rating,3,0.84037,0.880896,0.040526,0.558782,0.6676,0.108818
