policy_id,policy_label,round_index,mean_best_clip,std_best_clip,mean_baseline_clip,mean_best_dinov2,std_best_dinov2,mean_baseline_dinov2
carry_forward_baseline,carry-forward baseline,1,0.855707,0.042454,0.813849,0.558494,0.157592,0.372709
carry_forward_baseline,carry-forward baseline,2,0.859814,0.035768,0.813849,0.504662,0.21134,0.372709
carry_forward_baseline,carry-forward baseline,3,0.880599,0.039519,0.813849,0.504295,0.209933,0.372709
carry_forward_baseline,carry-forward baseline,4,0.880731,0.039521,0.813849,0.558393,0.173434,0.372709
carry_forward_baseline,carry-forward baseline,5,0.881411,0.040539,0.813849,0.572249,0.155585,0.372709
carry_forward_baseline,carry-forward baseline,6,0.883505,0.037451,0.813849,0.582815,0.133879,0.372709
soft_penalty,soft incumbent penalty,1,0.862641,0.009844,0.830738,0.634217,0.071568,0.381244
soft_penalty,soft incumbent penalty,2,0.877518,0.035395,0.830738,0.640274,0.113144,0.381244
soft_penalty,soft incumbent penalty,3,0.876596,0.036126,0.830738,0.600031,0.130088,0.381244
soft_penalty,soft incumbent penalty,4,0.876596,0.036126,0.830738,0.545332,0.197732,0.381244
soft_penalty,soft incumbent penalty,5,0.89142,0.032902,0.830738,0.569134,0.164047,0.381244
soft_penalty,soft incumbent penalty,6,0.89142,0.032902,0.830738,0.636217,0.111834,0.381244
hard_cooldown,hard incumbent cooldown,1,0.861151,0.038391,0.83378,0.578846,0.164407,0.468777
hard_cooldown,hard incumbent cooldown,2,0.863363,0.034731,0.83378,0.619245,0.100691,0.468777
hard_cooldown,hard incumbent cooldown,3,0.870076,0.023953,0.83378,0.547203,0.132683,0.468777
hard_cooldown,hard incumbent cooldown,4,0.860726,0.017535,0.83378,0.620954,0.100578,0.468777
hard_cooldown,hard incumbent cooldown,5,0.87195,0.023632,0.83378,0.587531,0.116376,0.468777
hard_cooldown,hard incumbent cooldown,6,0.856255,0.034123,0.83378,0.567965,0.13182,0.468777
