target_id,target_label,repeat_index,target_path,target_attribution,session_id,experiment_id,trace_report,runtime_root,max_rounds,baseline_clip,first_round_best_clip,final_best_clip,delta_clip,baseline_dinov2,first_round_best_dinov2,final_best_dinov2,delta_dinov2
cat_portrait_bw,Black-and-white cat portrait,0,paper\results\oracle_plateau_escape_soft_control\targets\Cat_portrait_B%26W.JPG,"Wikimedia Commons, source page File:Cat portrait B&W.JPG",ses_195155a3ef53,exp_52e625d4c936,runs\cat_portrait_bw\repeat_1\trace_report.html,runs\cat_portrait_bw\repeat_1\runtime,10,0.84983,0.886452,0.875433,0.025603,0.388174,0.628072,0.441518,0.053344
cat_portrait_bw,Black-and-white cat portrait,1,paper\results\oracle_plateau_escape_soft_control\targets\Cat_portrait_B%26W.JPG,"Wikimedia Commons, source page File:Cat portrait B&W.JPG",ses_3d7c49f8be72,exp_82ac11c84326,runs\cat_portrait_bw\repeat_2\trace_report.html,runs\cat_portrait_bw\repeat_2\runtime,10,0.834744,0.864045,0.88557,0.050826,0.377327,0.657688,0.577214,0.199887
cat_portrait_bw,Black-and-white cat portrait,2,paper\results\oracle_plateau_escape_soft_control\targets\Cat_portrait_B%26W.JPG,"Wikimedia Commons, source page File:Cat portrait B&W.JPG",ses_4876a1fa929c,exp_58d1b89b6faa,runs\cat_portrait_bw\repeat_3\trace_report.html,runs\cat_portrait_bw\repeat_3\runtime,10,0.861172,0.869142,0.870839,0.009667,0.515899,0.515899,0.646172,0.130273
mountain_lake,Mountain lake landscape,0,paper\results\oracle_plateau_escape_soft_control\targets\Mountain%20lake.jpg,"Wikimedia Commons, source page File:Mountain lake.jpg",ses_42c3e00ad25d,exp_a8302fbea623,runs\mountain_lake\repeat_1\trace_report.html,runs\mountain_lake\repeat_1\runtime,10,0.82384,0.84103,0.844149,0.020309,0.408219,0.408219,0.450765,0.042546
mountain_lake,Mountain lake landscape,1,paper\results\oracle_plateau_escape_soft_control\targets\Mountain%20lake.jpg,"Wikimedia Commons, source page File:Mountain lake.jpg",ses_ef87b304cba0,exp_fdab91b78b85,runs\mountain_lake\repeat_2\trace_report.html,runs\mountain_lake\repeat_2\runtime,10,0.817673,0.831319,0.851832,0.034159,0.346119,0.465705,0.512724,0.166605
mountain_lake,Mountain lake landscape,2,paper\results\oracle_plateau_escape_soft_control\targets\Mountain%20lake.jpg,"Wikimedia Commons, source page File:Mountain lake.jpg",ses_5f219f47bf41,exp_fd4d9141e8c0,runs\mountain_lake\repeat_3\trace_report.html,runs\mountain_lake\repeat_3\runtime,10,0.772755,0.844202,0.853506,0.080751,0.304867,0.445937,0.546111,0.241244
red_bicycle,Red bicycle street photo,0,paper\results\oracle_plateau_escape_soft_control\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,"Wikimedia Commons, source page File:The Red Bicycle. (15655615295).jpg",ses_7182d66d2f03,exp_f7ba800db732,runs\red_bicycle\repeat_1\trace_report.html,runs\red_bicycle\repeat_1\runtime,10,0.885388,0.907066,0.907066,0.021678,0.714115,0.715619,0.695075,-0.01904
red_bicycle,Red bicycle street photo,1,paper\results\oracle_plateau_escape_soft_control\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,"Wikimedia Commons, source page File:The Red Bicycle. (15655615295).jpg",ses_b7cc2de9180a,exp_c5caaa61cb07,runs\red_bicycle\repeat_2\trace_report.html,runs\red_bicycle\repeat_2\runtime,10,0.859284,0.893315,0.914697,0.055413,0.694834,0.716022,0.712079,0.017245
red_bicycle,Red bicycle street photo,2,paper\results\oracle_plateau_escape_soft_control\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,"Wikimedia Commons, source page File:The Red Bicycle. (15655615295).jpg",ses_89a16d65e57d,exp_de2acbec91a3,runs\red_bicycle\repeat_3\trace_report.html,runs\red_bicycle\repeat_3\runtime,10,0.845946,0.874549,0.895669,0.049723,0.682965,0.716243,0.726645,0.04368
