policy_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
baseline_clip,Baseline CLIP oracle,1,0.86517,0.83679,0.621994,0.419185
baseline_clip,Baseline CLIP oracle,2,0.878625,0.83679,0.545106,0.419185
baseline_clip,Baseline CLIP oracle,3,0.878625,0.83679,0.568587,0.419185
baseline_clip,Baseline CLIP oracle,4,0.878625,0.83679,0.509737,0.419185
baseline_clip,Baseline CLIP oracle,5,0.887209,0.83679,0.490342,0.419185
baseline_clip,Baseline CLIP oracle,6,0.89085,0.83679,0.500403,0.419185
bt_progress,Bradley-Terry progress-aware,1,0.873314,0.85596,0.424703,0.407334
bt_progress,Bradley-Terry progress-aware,2,0.874249,0.85596,0.489937,0.407334
bt_progress,Bradley-Terry progress-aware,3,0.874182,0.85596,0.535452,0.407334
bt_progress,Bradley-Terry progress-aware,4,0.87848,0.85596,0.61263,0.407334
bt_progress,Bradley-Terry progress-aware,5,0.87848,0.85596,0.521913,0.407334
bt_progress,Bradley-Terry progress-aware,6,0.875633,0.85596,0.521913,0.407334
pareto_listwise,Pareto listwise,1,0.852466,0.838434,0.500752,0.471131
pareto_listwise,Pareto listwise,2,0.85799,0.838434,0.500752,0.471131
pareto_listwise,Pareto listwise,3,0.874428,0.838434,0.4935,0.471131
pareto_listwise,Pareto listwise,4,0.872567,0.838434,0.586305,0.471131
pareto_listwise,Pareto listwise,5,0.877138,0.838434,0.560118,0.471131
pareto_listwise,Pareto listwise,6,0.867272,0.838434,0.5547,0.471131
restart_directional,Restart directional mix,1,0.858777,0.831852,0.49105,0.357432
restart_directional,Restart directional mix,2,0.86399,0.831852,0.562752,0.357432
restart_directional,Restart directional mix,3,0.852521,0.831852,0.509102,0.357432
restart_directional,Restart directional mix,4,0.875843,0.831852,0.563679,0.357432
restart_directional,Restart directional mix,5,0.875843,0.831852,0.510523,0.357432
restart_directional,Restart directional mix,6,0.861638,0.831852,0.58231,0.357432
restart_advantage,Restart advantage mix,1,0.853605,0.825589,0.429942,0.3181
restart_advantage,Restart advantage mix,2,0.880804,0.825589,0.554747,0.3181
restart_advantage,Restart advantage mix,3,0.880804,0.825589,0.487117,0.3181
restart_advantage,Restart advantage mix,4,0.881322,0.825589,0.629568,0.3181
restart_advantage,Restart advantage mix,5,0.888691,0.825589,0.494968,0.3181
restart_advantage,Restart advantage mix,6,0.894251,0.825589,0.439321,0.3181
